가맹점 명,주소,데이터기준일자,위도,경도
보경당,부산 해운대구  재송1로,2026-04-24,35.1876498,129.1232547
읍내집,부산 기장군 일광읍 문오성길 491,2026-04-24,35.29782726,129.2596773
데코라인,부산 사하구 사리로 18,2026-04-24,35.10134103,128.9995022
온천시장지하가구,부산광역시 동래구 온천장로119번길 44-10,2026-04-24,35.22217087,129.0829487
벧엘맞춤옷수선,부산 사하구 괴정로 229-1,2026-04-24,35.09711659,128.9866773
부전의료기,부산 부산진구 중앙대로 789,2026-04-24,35.16253408,129.0626585
룸비니,부산 중구 광복로35번길 3-2,2026-04-24,35.09963918,129.0287985
유미,부산 부산진구 부전1동,2026-04-24,35.16350647,129.0630056
한신스포렉스,부산 중구  고가길,2026-04-24,35.10423654,129.0272469
진일상사,부산 금정구 금강로 373,2026-04-24,35.24139306,129.0863072
굿피트코리아 제1사업본부,부산 남구 수영로 211,2026-04-24,35.13519137,129.0898926
초읍오토바이,부산 부산진구 연지동,2026-04-24,35.17278456,129.05284
스마일가발,부산 중구 중앙대로,2026-04-24,35.10493049,129.0362799
주와리소바,부산 수영구 좌수영로83번길 20,2026-04-24,35.17167272,129.1203702
현대스포츠,부산 금정구 금강로 244,2026-04-24,35.22974897,129.0848021
해암빌딩,부산 연제구 중앙대로 1099,2026-04-24,35.18587618,129.0807263
둘레집,부산 금정구 오륜대로 145-79,2026-04-24,35.25229289,129.1067856
가인혼수,부산 기장군 기장읍,2026-04-24,35.23871011,129.2158563
삼아양행,부산 중구 중구로43번길 21,2026-04-24,35.10172196,129.0266828
뿌리금방,부산 동래구 사직북로57번가길 10-2,2026-04-24,35.19783341,129.0583835
가마솥생복집,부산 기장군 기장읍,2026-04-24,35.23871011,129.2158563
금성신평대리점,부산 사하구 다대로136번길 69,2026-04-24,35.09150441,128.9763448
Jewelry옥돌,부산 북구 만덕대로 122,2026-04-24,35.21295561,129.0179794
신철규치과의원,부산 사하구 다대로 437,2026-04-24,35.06396076,128.9798525
미꾸리추어탕,부산 동래구 충렬대로375번길 13,2026-04-24,35.19814397,129.0997618
산성집,부산 금정구 산성로 524,2026-04-24,35.24422122,129.0555748
항도오토바이,부산 남구 수영로219번길 56,2026-04-24,35.13762233,129.0904625
세잔안경원,부산 북구 구포3동,2026-04-24,35.19489922,129.0087815
한창,부산 사하구 낙동대로 313,2026-04-24,35.09967823,128.9827687
신일액자,부산 금정구 금정로 78,2026-04-24,35.2315267,129.0868285
한송의원,부산 부산진구 가야공원로 44,2026-04-24,35.14954543,129.0298395
예진방,부산 금정구 구서중앙로15번길 6,2026-04-24,35.2545379,129.0893974
안강식당,부산 남구 용호로159번길 119,2026-04-24,35.11844328,129.1164852
초량치과의원,부산 동구 중앙대로221번길 43,2026-04-24,35.11756338,129.0380499
내쇼날전자,부산 영도구 남항동1가,2026-04-24,35.09041638,129.0388354
남강낚시,부산 연제구 과정로 246,2026-04-24,35.18791884,129.1004091
한독의료기상사,부산 중구 창선동2가,2026-04-24,35.09952532,129.0283163
의류할인대매장,부산 해운대구 재송1로31번길 49,2026-04-24,35.18798764,129.1241378
원진상사,부산 중구 부평동1가,2026-04-24,35.10215334,129.0272278
삼송,부산 중구 광복로55번길 13,2026-04-24,35.09967835,129.0298659
정윤식치과,부산 수영구 수영로,2026-04-24,35.15821893,129.113224
(주)동항,부산 남구 우암로 68,2026-04-24,35.1166464,129.0813268
대림스포츠나이키,부산 중구 광복로 78-2,2026-04-24,35.09834599,129.0333748
세계 안경원,부산 북구 만덕대로 3,2026-04-24,35.21054785,129.0057133
플러스안경,부산 동래구 안락로 69,2026-04-24,35.19958857,129.1046408
밝은눈안경,부산 사상구 사상로 481,2026-04-24,35.18752503,128.9873193
성가병원,부산 부산진구 범일로 133,2026-04-24,35.14206031,129.0590295
기영가구사,부산 수영구 수미로50번길 26,2026-04-24,35.17201381,129.1159349
애플(APPLE),부산 중구 구덕로 73,2026-04-24,35.09714032,129.0271554
레인샵,부산 중구 남포동6가,2026-04-24,35.09752165,129.0267754
성보사,부산 동래구 금강공원로 25,2026-04-24,35.21893983,129.0815693
굿모닝 안경,부산 부산진구 서전로 68,2026-04-24,35.15768664,129.0669819
으뜸스타안경,부산 금정구 중앙대로1719번길 13,2026-04-24,35.23765513,129.0912906
미소,부산 부산진구 부전1동,2026-04-24,35.16350647,129.0630056
안경나라,부산 부산진구 동평로 110,2026-04-24,35.16578058,129.0414844
으뜸아이안경원 선수촌점,부산 해운대구 선수촌로 102,2026-04-24,35.202604,129.1194926
동해카써비스,부산 동래구 반송로239번길 5,2026-04-24,35.20205534,129.0984928
상옥당,부산 사하구  낙동대로 191 (괴정동),2026-04-24,35.1008224,128.9957354
한울자동차정비,부산 수영구 수미로 17,2026-04-24,35.17422107,129.1126332
모던정보통신,부산 부산진구 가야대로443번길,2026-04-24,35.15432242,129.0212458
미래가죽의집,부산광역시 부산진구 중앙대로 지하717,2026-04-24,35.15523714,129.0591398
연세안경,부산 남구 장고개로 6,2026-04-24,35.12582106,129.0711195
삼천리자전거,부산 금정구 부곡동,2026-04-24,35.23763801,129.0964139
지센,부산 사상구 백양대로 907,2026-04-24,35.18738612,128.9905521
1001안경.콘택트,부산 동래구 온천장로119번길 56,2026-04-24,35.22256994,129.0824279
김양규한의원,부산 해운대구 재반로 213-1,2026-04-24,35.19639963,129.1306865
세왕상사,부산 연제구 월드컵대로243번길 19,2026-04-24,35.18934657,129.0699741
새로미,부산 중구 신창동3가,2026-04-24,35.10057836,129.0289345
기독안경원,부산 중구 중앙대로 151-2,2026-04-24,35.11113152,129.037563
(주)동부판매,부산 해운대구 해운대로570번길 4,2026-04-24,35.1606608,129.1543364
에이비(AB)쥬얼리,부산 중구 중구로53번길 4,2026-04-24,35.10269962,129.0277404
대호양복점,부산 사하구 승학로 13,2026-04-24,35.10675146,128.9703633
대원상회,부산광역시 동래구 충렬대로249번길 19,2026-04-24,35.20220226,129.0864756
용호레포츠,부산 남구 동명로152번길 27,2026-04-24,35.11804969,129.1132719
바인,부산 금정구 금강로 247-7,2026-04-24,35.23024793,129.0842534
마제스트,부산 부산진구 부전1동,2026-04-24,35.16350647,129.0630056
보아,부산 사상구 광장로 7,2026-04-24,35.16433608,128.9777161
종합자전거,부산 남구  수영로266번길,2026-04-24,35.13392645,129.0985698
한샘동래대리점,부산광역시 동래구 명륜로 99,2026-04-24,35.20273455,129.0832493
자매방,부산 해운대구 윗반송로51번길 84-8,2026-04-24,35.23096242,129.1562483
아모레,부산 사하구 다대로 240,2026-04-24,35.08115489,128.9767323
남포문고,부산 중구 중구로 13,2026-04-24,35.09898022,129.0274483
프로월드컵남포지하점,부산 중구 구덕로 73,2026-04-24,35.09714032,129.0271554
명성레코드,부산 중구 중앙동1가,2026-04-24,35.10077391,129.0357598
정윤채우리옷,부산 수영구 연수로379번길 4,2026-04-24,35.16998696,129.1116596
엘리스2046,부산 부산진구  범일로142번길,2026-04-24,35.14272257,129.0612503
초량안경원,부산 동구 초량중로 94,2026-04-24,35.12004365,129.0400057
길화방,부산 남구 대연3동,2026-04-24,35.13986691,129.10368
화니안경원,부산 동구  범곡북로,2026-04-24,35.14160335,129.0540654
영진상회,부산 중구 신창동4가,2026-04-24,35.10053657,129.028201
동제한의원,부산 남구 수영로 198,2026-04-24,35.13468096,129.0882566
