연번,쉼터명,주소,경도,위도
217,보성경로당,부산광역시 부산진구 진남로376번길 9,129.0713099,35.1584624
218,부흥노인정,부산광역시 부산진구 진남로373번길 55-5 ,129.0686693,35.1592249
219,산림경로당,부산광역시 부산진구 진남로 404,129.0708344,35.161001
220,서면롯데캐슬스카이경로당,부산광역시 부산진구 전포대로275번길 20,129.0649479,35.1620315
221,성전경로당,부산광역시 부산진구 동성로112번길 117,129.067047,35.164975
222,양정메트로하이츠아파트경로당,부산광역시 부산진구 진남로 477,129.0691734,35.1671681
223,한신아파트노인정,부산광역시 부산진구 전포대로 294,129.0662378,35.1627992
224,화신거화아파트경로당,부산광역시 부산진구 진남로 388,129.0710569,35.1595625
225,부산진구노인복지관,부산광역시 부산진구 전포대로300번길 6,129.0658479,35.1640465
226,청산경로당,부산광역시 부산진구 진남로 398-1 ,129.070805,35.1603612
227,동원아파트경로당,부산광역시 부산진구 동평로181번길 29-17 ,129.0464836,35.1673522
228,메리움아파트노인정,부산광역시 부산진구 신천대로 246,129.0509551,35.1638085
229,백양정노인정,부산광역시 부산진구 신천대로 279,129.049659,35.166715
230,부암경로당,부산광역시 부산진구 가야대로747번다길 19,129.0519988,35.1591919
231,부암백양경로당,부산광역시 부산진구 동평로214번길 31,129.0520427,35.167611
232,부암새마을경로당,부산광역시 부산진구 동평로183번길 33,129.0490742,35.1684418
233,서면쌍용스윗닷홈스카이경로당,부산광역시 부산진구 시민공원로 11,129.0509295,35.1630952
234,성암아파트경로당,부산광역시 부산진구 시민공원로19번길 38,129.0517582,35.1651971
235,장미경로당,부산광역시 부산진구 신천대로216번길 28-1 ,129.0515016,35.1606384
236,타워베르빌경로당,부산광역시 부산진구 시민공원로19번길 65,129.0509034,35.1659433
237,쌍용스윗닷홈파크경로당,부산광역시 부산진구 신천대로220번길 31,129.0513298,35.1614231
238,부암본동경로당,부산광역시 부산진구 신천대로241번길 39,129.048558,35.1630526
239,서면동문굿모닝힐경로당,부산광역시 부산진구 신천대로220번길 65,129.0532182,35.1618314
240,복지할머니노인정,부산광역시 부산진구 동평로 136,129.0441602,35.1659352
241,부암한빛경로당,부산광역시 부산진구 동평로131번길 42,129.044961,35.1675997
242,일성인포아파트경로당,부산광역시 부산진구 신천대로 252,129.05067,35.1645052
243,서면동일파크스위트1차경로당,부산광역시 부산진구 동평로150번길 14,129.0447021,35.1655555
244,동부경로당,부산광역시 부산진구 당감로 97,129.0380184,35.1702846
245,동원부녀노인정,부산광역시 부산진구 당감로 100,129.0381738,35.1705307
246,백양산쌍용노인정,부산광역시 부산진구 백양산로 70,129.0317886,35.1754285
247,협성부녀노인정,부산광역시 부산진구 당감로 118,129.037088,35.172891
248,동평상가아파트경로당,부산광역시 부산진구 동평로95번길 16,129.040105,35.166413
249,당감1동경로당,부산광역시 부산진구 동평로 104-10 ,129.0410521,35.1653816
250,당감1동할머니경로당,부산광역시 부산진구 동평로 104-10 ,129.0410521,35.1653816
251,장수경로당,부산광역시 부산진구 백양대로52번길 13,129.0431584,35.1628949
